100.5837 101.603
147.3483 102.3552
166.5336 129.8277
192.767 154.1784
208.4896 181.0251
219.7707 220.2287
183.7168 280.1485
179.3883 295.9737
156.6424 315.4952
94.37085 328.5712
82.376 284.3455
65.38242 254.0176
66.38953 215.6707
60.62261 199.2536
59.36239 178.1922
68.98444 154.2388
77.03894 135.4997
83.87898 123.6203
118.0374 108.5626
129.3325 119.328
154.5887 116.409
184.7692 129.2654
191.8069 164.1219
194.9546 199.1596
193.2089 224.5258
195.4614 266.6053
182.8701 281.0226
142.7488 339.0506
92.26138 345.5004
60.35124 317.7732
45.15304 262.3089
43.82467 222.9778
44.58848 190.046
50.19058 160.2975
50.13721 148.7378
52.88984 116.9011
60.971 97.74007
66.14928 88.78508
96.70971 74.83892
136.0875 70.00294
180.0162 73.23509
247.8813 97.36981
305.5226 146.3722
282.8213 258.4883
221.0697 344.6965
153.0635 413.6275
95.91741 418.1624
65.81045 372.5075
32.44651 315.1636
27.8734 248.1767
29.94015 194.2823
